iter	Passed	Remaining
558	4367	3445
559	4374	3437
560	4382	3429
561	4390	3421
562	4397	3413
563	4404	3404
564	4415	3399
565	4423	3391
566	4430	3383
567	4439	3376
568	4446	3367
569	4453	3359
570	4462	3352
571	4470	3344
572	4478	3337
573	4486	3329
574	4496	3323
575	4506	3317
576	4518	3312
577	4529	3306
578	4537	3299
579	4545	3291
580	4553	3284
581	4562	3276
582	4570	3268
583	4577	3260
584	4584	3251
585	4593	3245
586	4604	3239
587	4612	3232
588	4622	3225
589	4631	3218
590	4640	3211
591	4648	3203
592	4657	3196
593	4667	3190
594	4675	3182
595	4682	3174
596	4692	3167
597	4699	3159
598	4710	3153
599	4717	3145
600	4725	3137
601	4734	3129
602	4742	3122
603	4749	3114
604	4757	3106
605	4765	3098
606	4773	3090
607	4779	3081
608	4785	3072
609	4793	3064
610	4799	3055
611	4808	3048
612	4817	3041
613	4824	3032
614	4831	3024
615	4838	3016
616	4846	3008
617	4854	3000
618	4863	2993
619	4874	2987
620	4884	2980
621	4893	2974
622	4903	2967
623	4911	2959
624	4920	2952
625	4928	2944
626	4934	2935
627	4945	2929
628	4952	2921
629	4961	2913
630	4970	2906
631	4978	2898
632	4986	2891
633	4994	2883
634	5002	2875
635	5009	2866
636	5016	2858
637	5024	2851
638	5032	2843
639	5040	2835
640	5047	2827
641	5056	2819
642	5062	2810
643	5069	2802
644	5077	2794
645	5083	2785
646	5091	2778
647	5101	2771
648	5110	2763
649	5120	2757
650	5130	2750
651	5139	2742
652	5149	2736
653	5160	2730
654	5170	2723
655	5178	2715
656	5187	2708
657	5196	2700
658	5203	2692
659	5210	2684
660	5218	2676
661	5225	2668
662	5233	2660
663	5240	2651
664	5249	2644
665	5257	2636
666	5264	2628
667	5271	2619
668	5279	2611
669	5286	2603
670	5292	2595
671	5300	2587
672	5307	2578
673	5314	2570
674	5321	2562
675	5328	2553
676	5334	2545
677	5341	2537
678	5349	2529
679	5356	2520
680	5363	2512
681	5371	2504
682	5379	2496
683	5386	2488
684	5394	2480
685	5401	2472
686	5409	2464
687	5416	2456
688	5424	2448
689	5432	2440
690	5440	2432
691	5448	2425
692	5456	2417
693	5463	2409
694	5470	2400
695	5478	2392
696	5484	2384
697	5493	2376
698	5501	2368
699	5508	2360
700	5516	2352
701	5523	2344
702	5531	2336
703	5538	2328
704	5545	2320
705	5552	2312
706	5559	2303
707	5567	2296
708	5575	2288
709	5582	2280
710	5590	2272
711	5602	2266
712	5610	2258
713	5619	2250
714	5627	2242
715	5636	2235
716	5643	2227
717	5650	2219
718	5657	2211
719	5664	2202
720	5672	2194
721	5679	2186
722	5688	2179
723	5696	2171
724	5702	2163
725	5711	2155
726	5718	2147
727	5726	2139
728	5734	2131
729	5741	2123
730	5749	2115
731	5756	2107
