iter	RMSE
229	1.782156434
230	1.781405885
231	1.780880844
232	1.780110304
233	1.779439832
234	1.779243072
235	1.778616234
236	1.777863348
237	1.777172712
238	1.776522515
239	1.775743028
240	1.775360071
241	1.774623153
242	1.773662574
243	1.773041854
244	1.772343147
245	1.771688285
246	1.771054678
247	1.770695019
248	1.769826013
249	1.769065272
250	1.768750547
251	1.768109073
252	1.767600588
253	1.767107835
254	1.766624929
255	1.766035398
256	1.765300586
257	1.764411769
258	1.763419327
259	1.762738956
260	1.762241963
261	1.761599278
262	1.760922305
263	1.760555771
264	1.760163899
265	1.759496857
266	1.758987263
267	1.758741612
268	1.758011918
269	1.757581367
270	1.756380238
271	1.755701274
272	1.755144212
273	1.754510903
274	1.75356938
275	1.752989566
276	1.752544549
277	1.751569196
278	1.751011514
279	1.750352544
280	1.749738335
281	1.749063164
282	1.748689248
283	1.747954729
284	1.747392265
285	1.746718526
286	1.74610455
287	1.745307761
288	1.744510203
289	1.743833494
290	1.743355116
291	1.742770405
292	1.742492921
293	1.741870907
294	1.741199835
295	1.74052984
296	1.74014227
297	1.739644706
298	1.738947122
299	1.738293925
300	1.73775573
301	1.737316201
302	1.736613834
303	1.736355752
304	1.735891965
305	1.73579974
306	1.735328535
307	1.734598312
308	1.734228335
309	1.733871063
310	1.733374547
311	1.732669868
312	1.732092067
313	1.7314038
314	1.730817285
315	1.730636747
316	1.730223166
317	1.729800896
318	1.729245372
319	1.728763575
320	1.728387519
321	1.727830255
322	1.727306994
323	1.726781593
324	1.726066977
325	1.725537179
326	1.725024742
327	1.724674275
328	1.723951983
329	1.722690899
330	1.721950145
331	1.721607218
332	1.721171417
333	1.720825932
334	1.720200236
335	1.719627619
336	1.719208798
337	1.71877007
338	1.718179759
339	1.717205303
340	1.716829871
341	1.716076473
342	1.71561725
343	1.715034315
344	1.714886504
345	1.714058267
346	1.713537971
347	1.712915506
348	1.712277354
349	1.71188705
350	1.711193443
351	1.710973417
352	1.710393125
353	1.710059327
354	1.709586911
355	1.709174936
356	1.708228679
357	1.707894762
358	1.70685038
359	1.706532339
360	1.705934922
361	1.705158567
362	1.704304154
363	1.703883812
364	1.703244793
365	1.702936999
366	1.702098169
367	1.701541388
368	1.701153552
369	1.700613471
370	1.699912475
371	1.699347983
372	1.698822966
373	1.69821944
374	1.697876214
375	1.697334912
376	1.69679622
377	1.696210932
378	1.695669954
379	1.695185913
380	1.694686967
381	1.694104452
382	1.693707157
383	1.692857461
384	1.69223493
385	1.691968463
386	1.691583012
387	1.690670871
388	1.690088554
389	1.689557669
390	1.688799049
391	1.688336044
392	1.687938568
393	1.687395247
394	1.686970412
395	1.686440753
396	1.686247639
397	1.685888856
398	1.685188278
399	1.684735171
400	1.684241771
401	1.683991654
402	1.683460916
403	1.683129604
404	1.682472324
405	1.681823572
406	1.680810661
407	1.680331013
408	1.679843105
409	1.679291449
410	1.678752928
411	1.67831958
412	1.67818172
413	1.677784224
414	1.677223714
415	1.676629009
416	1.67627997
417	1.67569718
418	1.675223624
419	1.674496557
420	1.673459959
421	1.672771851
422	1.672257659
423	1.671500394
424	1.670944182
425	1.670411338
426	1.670212681
427	1.669702818
428	1.669379357
429	1.669052819
430	1.668608622
431	1.667936571
432	1.667533705
433	1.667192068
434	1.667041954
435	1.666698729
436	1.666389876
437	1.665843287
438	1.665560646
439	1.664650347
440	1.664022545
441	1.663504224
442	1.662721183
443	1.662304109
444	1.661718678
445	1.66139467
446	1.661027128
447	1.660300275
448	1.660275715
449	1.659769582
450	1.659130307
451	1.658448932
452	1.657664463
453	1.656717901
454	1.65657406
455	1.655937453
456	1.655512141
457	1.655003339
458	1.654488769
459	1.653987732
460	1.65324881
461	1.652743
462	1.652246337
463	1.651822856
464	1.651313754
465	1.651044428
466	1.650435627
467	1.650086141
468	1.649479726
469	1.649019427
470	1.648530152
471	1.648000161
472	1.64735709
473	1.646620073
474	1.645937687
475	1.645239847
476	1.644633019
477	1.644117787
478	1.643565824
479	1.643010667
480	1.64236176
481	1.641796169
482	1.641455512
483	1.640761477
484	1.6403009
485	1.639793821
486	1.639519917
487	1.638872688
488	1.638525668
489	1.638181072
490	1.637965664
491	1.63754176
492	1.637167647
493	1.63679556
494	1.636231262
495	1.635775661
496	1.635660421
497	1.635320529
498	1.634914614
499	1.634315173
500	1.634110994
501	1.633561918
502	1.632892723
503	1.632439774
504	1.631891354
505	1.631334131
506	1.630732254
507	1.630237602
508	1.629692657
509	1.629128626
510	1.628673536
511	1.628335906
512	1.62798265
513	1.627588994
514	1.627137973
515	1.626777869
516	1.626054112
517	1.625434531
518	1.624973087
519	1.624467921
520	1.624002677
521	1.623564884
522	1.623344806
523	1.622943209
524	1.622417002
525	1.62225476
526	1.621691484
527	1.621450304
528	1.621245831
529	1.620808357
530	1.620171562
531	1.61973614
532	1.619379443
533	1.618881206
534	1.618388817
535	1.617797875
536	1.617244075
537	1.617000304
538	1.616296896
539	1.615982346
540	1.615515679
541	1.615273635
542	1.614923515
543	1.614611649
544	1.613985322
545	1.613443907
546	1.612762295
547	1.612459554
548	1.61231418
549	1.611546701
550	1.610913889
551	1.610572557
552	1.610092438
553	1.609619688
554	1.60931187
555	1.608676042
556	1.607950855
557	1.607748707
558	1.607423848
559	1.606927077
560	1.606488504
561	1.605934365
562	1.605396491
563	1.604860166
564	1.604150368
565	1.603717275
566	1.603324509
567	1.603043863
568	1.602654577
569	1.602315878
570	1.601603996
571	1.601404227
572	1.600875339
573	1.600304987
574	1.599723125
575	1.599403927
576	1.598994487
577	1.598617491
578	1.598084478
579	1.597748327
580	1.596993496
581	1.596664495
582	1.596087257
583	1.595488456
584	1.594634629
585	1.594162918
586	1.593541455
587	1.593235175
588	1.592853204
589	1.592593397
590	1.592132615
591	1.591917458
592	1.591732404
593	1.591104057
594	1.590866208
595	1.590425842
596	1.590157766
597	1.589716352
598	1.589265592
599	1.589041802
600	1.588741847
601	1.588087743
602	1.587979428
603	1.587643288
604	1.587268929
605	1.586999281
606	1.586612761
607	1.586252804
608	1.585760722
609	1.585124779
610	1.584950821
611	1.584652981
612	1.583946374
613	1.583396712
614	1.582987491
615	1.582536059
616	1.582161576
617	1.5816253
618	1.581605859
619	1.581395838
620	1.580935726
621	1.580351853
622	1.580062949
623	1.579647132
624	1.578874666
625	1.578330392
626	1.577870647
627	1.577451006
628	1.577169294
629	1.576744398
630	1.57650855
631	1.576301611
632	1.575914067
633	1.575675371
634	1.575138197
635	1.574882987
636	1.574180305
637	1.573834863
638	1.573633305
639	1.573296438
640	1.572462318
641	1.572003897
642	1.57156683
643	1.571216414
644	1.570900073
645	1.570233387
646	1.569738457
647	1.569454934
648	1.56908443
649	1.568827519
650	1.568420306
651	1.568247708
652	1.567822214
653	1.567439139
654	1.567215613
655	1.566782898
656	1.56624763
657	1.565921493
658	1.565483834
659	1.5652046
660	1.564703514
661	1.56445373
662	1.563870724
663	1.563549353
664	1.56317883
665	1.562604181
666	1.562314551
667	1.561927199
668	1.561338266
669	1.561107242
670	1.560669122
671	1.560382898
672	1.559818588
673	1.55940282
674	1.55907825
675	1.558472671
676	1.558128078
677	1.557780055
678	1.557568536
679	1.557281834
680	1.556961557
681	1.556654669
682	1.556139566
683	1.555801534
684	1.555311247
685	1.555177902
686	1.554485812
687	1.554211813
688	1.553470398
689	1.552836492
690	1.552812507
691	1.55238714
692	1.552029186
693	1.551850184
694	1.551408305
695	1.550915059
696	1.550575522
697	1.550418465
698	1.550042617
699	1.549479942
700	1.549089288
701	1.54869538
702	1.548306487
703	1.548091036
704	1.54765016
705	1.547306461
706	1.546841108
707	1.546553538
708	1.546249004
709	1.545703819
710	1.545366175
711	1.54489296
712	1.544334472
713	1.543792687
714	1.543573516
715	1.543209728
716	1.542812433
717	1.542204989
718	1.541757804
719	1.541448952
720	1.541051032
721	1.540491569
722	1.540128166
723	1.539697131
724	1.539568021
725	1.539035884
726	1.538474874
727	1.538146989
728	1.537703927
729	1.53749653
730	1.53714134
731	1.536630299
732	1.536027457
733	1.535823985
734	1.535468464
735	1.535218476
736	1.53496822
737	1.534452407
738	1.533910246
739	1.533150156
740	1.532785595
741	1.53254301
742	1.532017162
743	1.531799755
744	1.531547301
745	1.531049032
746	1.530605038
747	1.530465461
748	1.529926557
749	1.529493441
750	1.529034327
751	1.528637044
752	1.528058931
753	1.527561236
754	1.527248766
755	1.526934226
756	1.526345432
757	1.525681256
758	1.525446817
759	1.525040689
760	1.524450987
761	1.523918429
762	1.523644521
763	1.523146959
764	1.522835785
765	1.522688429
766	1.521974061
767	1.521659501
768	1.521189838
769	1.520878827
770	1.520299711
771	1.519746473
772	1.519413132
773	1.518947134
774	1.518656227
775	1.518461887
776	1.518088929
777	1.517767564
778	1.517123764
779	1.51699189
780	1.516545584
781	1.516053175
782	1.515834379
783	1.515106278
784	1.515083317
785	1.514671727
786	1.514253501
787	1.51359018
788	1.513439722
789	1.512860571
790	1.512658573
791	1.512201384
792	1.511899803
793	1.511512733
794	1.510978768
795	1.510667489
796	1.510405448
797	1.509894489
798	1.509344541
799	1.50898275
800	1.508861953
801	1.50843353
802	1.507813752
803	1.507528466
804	1.506939916
805	1.506638052
806	1.506162697
807	1.505732953
808	1.50554457
809	1.505389554
810	1.504896306
811	1.504688437
812	1.504274444
813	1.503801512
814	1.503548316
815	1.503120506
816	1.502698266
817	1.502367009
818	1.501935995
819	1.501508986
820	1.501141747
821	1.50067107
822	1.500463232
823	1.50009616
824	1.499780392
825	1.499135211
826	1.498574321
827	1.497995047
828	1.497656414
829	1.497515088
830	1.497321784
831	1.497180739
832	1.496872872
833	1.496313414
834	1.495852568
835	1.495453322
836	1.494977753
837	1.494593253
838	1.494464755
839	1.4942457
840	1.49387178
841	1.493747273
842	1.493537429
843	1.493003834
844	1.492612215
845	1.492537172
846	1.492082847
847	1.491882256
848	1.491667015
849	1.491169773
850	1.490939965
851	1.490465286
852	1.490214273
853	1.489800136
854	1.489684988
855	1.489087667
856	1.488872778
857	1.488636964
858	1.488191379
859	1.4878276
860	1.48724893
861	1.48689267
862	1.48643214
863	1.485808866
864	1.485398828
865	1.485096465
866	1.485062351
867	1.484513289
868	1.484096208
869	1.483747454
870	1.48341619
871	1.483322192
872	1.48312569
873	1.482708871
874	1.482513952
875	1.482425799
876	1.482105977
877	1.481700852
878	1.481495591
879	1.481168311
880	1.481002528
881	1.480712576
882	1.480399911
883	1.480193997
884	1.479888708
885	1.479670913
886	1.479317912
887	1.478792874
888	1.478473201
889	1.477894106
890	1.477459386
891	1.476853733
892	1.476376035
893	1.476030405
894	1.475558471
895	1.475191346
896	1.474679604
897	1.474099425
898	1.473914017
899	1.473578046
900	1.473222736
901	1.47319146
902	1.47253773
903	1.471956168
904	1.471366551
905	1.471213855
906	1.47098367
907	1.470466798
908	1.470164795
909	1.469883049
910	1.469634276
911	1.469077804
912	1.468525963
913	1.46823215
914	1.468013341
915	1.467720547
916	1.467302655
917	1.467151642
918	1.466902888
919	1.466626744
920	1.466059191
921	1.465815131
922	1.465502128
923	1.465092674
924	1.46463385
925	1.464212692
926	1.463987655
927	1.463731902
928	1.463239899
929	1.462915102
930	1.462713205
931	1.462592846
932	1.46224959
933	1.461739759
934	1.46139846
935	1.460760123
936	1.460405001
937	1.460176925
938	1.459659441
939	1.459408663
940	1.459110059
941	1.458519805
942	1.458426408
943	1.458184995
944	1.457724154
945	1.457651254
946	1.45733971
947	1.457188436
948	1.45661462
949	1.456192215
950	1.455837564
951	1.455628721
952	1.455312533
953	1.455086308
954	1.454630341
955	1.454241461
956	1.453664922
957	1.453262224
958	1.452890919
959	1.452502239
960	1.452298815
961	1.452158542
962	1.451751709
963	1.451331681
964	1.450958011
965	1.450580389
966	1.450110129
967	1.449874802
968	1.449677479
969	1.449402844
970	1.449017198
971	1.44857483
972	1.448009234
973	1.447551639
974	1.447304613
975	1.446963928
976	1.446524429
977	1.446155628
978	1.445824303
979	1.445446654
980	1.445211026
981	1.4449723
982	1.444414086
983	1.444143898
984	1.44361196
985	1.443051565
986	1.442792144
987	1.442310328
988	1.442039517
989	1.441787256
990	1.441160056
991	1.440645059
992	1.440096334
993	1.439843319
994	1.439603849
995	1.43907422
996	1.438790407
997	1.438464912
998	1.438323963
999	1.437997514
